"rating__-","title","body"
"3.0 out of 5 stars","Warranty period is not provided for 1 year","Product is good no doubt. However, i got this last week in November 2022 so the warranty would be for 1 year i.e., Nov 2023. I just check the validity it showing Sep 2023. May I k ow the reason for this?"
"3.0 out of 5 stars","Good Product, Worst service from Apple","The product was good. It was working great until after 3 months suddenly mic stopped working and right airpod gave less sound. I went to apple as i thought it was under warranty but again it’s apple. They told me that the mesh of the airpod was damaged. They literally used a microscope and showed me that there was a tiny hole due to which warranty is void. That is so stupid. Never buying airpods again. But amazon’s delivery was great. No issues. On time delivery."
"3.0 out of 5 stars","Touch sensors not working","I took aipods 2nd gen oneday ago , i checked the touch sensors not working . I tried to return the product but Amazon saying to talk with apple customer care and apple askedme to check with Amazon . I didn't understand why they are not allowing take the product return instead asking me to come to apple care . I don't have to time how should I come , i am fully loaded with meetings .  This worst behaviour , not satisfied Please help me to take return back"
"3.0 out of 5 stars","Got warranty for seven months","Genuine product. But got warranty only for seven months. Contacted apple customer care, but they have expressed their inability to extend the warranty up to one year due to mismatch of serial no. in the invoice with that of the the product."
"3.0 out of 5 stars","Battery drain fast","Battery drain very fast"
"3.0 out of 5 stars","The mic sounds worse than 1k earbuds","These are ultimately meant to take calls on the go. Maybe, I've got a defective one, but the mic quality is just bad. There's always an extra helping of noise delivered to the other end, along with the voice. It's very frustrating.  Apart from the issue, no complains."
"3.0 out of 5 stars","not good","Not good earphone. I don’t recommend you cannot wear more than 30 minutes your ear will pain very badly"
"3.0 out of 5 stars","Very uncomfortable to use While driving it will fall down easily","Ear pod not sitting properly in my ear U have to change the things"
"3.0 out of 5 stars","Not bad","Money 💰 waist"
"3.0 out of 5 stars","Refurbished one I got","It seems there is no Apple warranty for this product"
"3.0 out of 5 stars","Cannot put in the ear for a long time Very painful","Very painful for the ear Not a good recommendation"
"3.0 out of 5 stars","The transparency of the product","There were small scratches on the case , that was lil disappointing"
"3.0 out of 5 stars","Poor fitting in the ears","Not useful when doing activities like cycling, running,etc. It poorly fits"
"3.0 out of 5 stars","Sound leaks in high volume and even in medium","Over all nice but since its apple the prices are high which I would say is not worth it because you can get earbuds with almost the same quality in a lot cheaper prices."
"3.0 out of 5 stars","Fancy product - easy to ise","If you are looking for sound - please don’t go for this product. Please go for Bose with couple of more bucks. It’s a stylish product with no sense of sound"
"3.0 out of 5 stars","Not worth its price","There are better earphones in sony and jbl at this price. Noise cancellation is not good. If I am listening to music people sitting beside me can hear it. And falls from my ear"
"3.0 out of 5 stars","Less Battery Backup","It gives me only 3 hours of battery backup even after charging it fully."
"3.0 out of 5 stars","Not a value for money","Pros :The connectivity with iPhone is great. It pairs immediately with my iPhone 12pro. Battery life is more than sufficient. Very light weight and fits in the ear perfectly. Looks decent as well.  Cons: 1.Sound quality is poor. It is not better than any cheap earphone. One can easily get this quality of sound in earphones which are under Rs 1000 price range. Those who have used Bose Soundsport cannot tolerate this kind of sound quality. 2. There is no cushion or soft pads so after using for sometime it hurts. Not very comfortable for those who use airpods for a long time.  This kind of items cannot be priced above Rs 1000-1500. Only God know why Apple has priced it at 13999."
"3.0 out of 5 stars","Seems like something ..","Seems like charge doesn't exist for long time . Auto connect is not happening . Noise is not clear sometimes ."
"3.0 out of 5 stars","Uncomfortable","Sound quality is good but it is very painful to wear for long hours."
"3.0 out of 5 stars","Bad experince","Dislike"
"3.0 out of 5 stars","The battery life is pretty bad , no noise cancellation","The voice quality is good, but the battery life is very bad zoom call for 60-70 mins and the battery is out and the voice starts cutting. There is Zero noise cancellation. I would like to return this Can I? Its a waste of money"
"3.0 out of 5 stars","Too overpriced.","Have used these and OnePlus buds z. OnePlus is by far better in sound quality and isolation."
"3.0 out of 5 stars","Genuine but received scratched product .","The media could not be loaded. The product is good, I had some confusion regarding the genuineness of the product, I contacted the Amazon customer service and their behaviour was very harsh. Later on after seeing all the reviews & the images of the product I too noticed a lot of scratches on the case of the product. The product is genuine but somehow I feel like it’s a used one, Amazon should replace the same."
"3.0 out of 5 stars","Able to converse hand free","It worked for initial about 7-8 days. It is not working at all now. Due to COVID, I am not visiting any service centre. Please help. Thanks"
"3.0 out of 5 stars","Good earphones but not stellar","The particular piece received has a slightly loose hinge on the case. I have used the previous generation Airpods for 2 years and there was no issue. I guess the quality levels have fallen. Apple India has refused to accept this as a warranty issue. Sound quality is good and same as Airpods from 1st gen. There is no noise cancelling feature for that you will need to look at the Airpods pro and shell out extra dough It pairs much faster with devices as compared to last generation Airpods and “hey Siri” feature is great. Expect a lifetime of slightly over 2 years as the battery starts to wear out and there is no way to replace the battery in the buds Overall a good earphones but with some flaws"
"3.0 out of 5 stars","Nc is not up to the mark bt sound is very good","Good"
"3.0 out of 5 stars","Good product","Good sound quality and Bluetooth connectivity. The only reason i have given 3 stars for the product is that once when the ear phones were not working when i took it to the Apple store, they said the warranty was expired since the product was purchased much earlier in july though the amazon invoice says 2nd December 2019. Beware of that."
"3.0 out of 5 stars","But original ones are great, personally I ordered from here and it was fake","Look airpods itself are amazing without a doubt. But i got a fake one so definitely my experience was bad. I am user of airpods since launch and its very handy. Go for it. Just dont buy it on amazon they cant control delivery people but lot many times cargo comes fake"
"3.0 out of 5 stars","Zero Noise Cancellation - Rest is good","Review after using for 1 month:  Pros:  1. The sound quality is amazing if you are sitting in a quite environment. 2. Extremely light weight. 3. Charging case can charge them for 4 times. 4. Fits most of the ears, please go to nearest apple store, try them for 20-25 mins, if you feel comfortable then only buy. 5. Great voice quality and highly convenient for long calls. You can do all your chores while talking with friends/family.  Cons:  1. Zero Noise cancellation 2. The case gets in 2-3 days of normal use 3. Not good for workout (running, gymming, training, etc) 4. Obviously, overpriced."
"3.0 out of 5 stars","Worth of buying.","I didn't even expected good sound quality. Sound is good. in my case I got the defect product. both the left and right earpods were not pairing with each other and I was getting continues blinks with amber light. tried with the Amazon customer care, no body responded. Finally I had to return this product and now I have purchased from the store directly and using nicely now."
"3.0 out of 5 stars","Cap is making sound while pressing from top ends","The media could not be loaded. The cap is making sound while pressing from top ends, my point is if you are paying 12.5 k then we should get the best product, I replaced it but again I got the same issue, may be they are giving the used product."
"3.0 out of 5 stars","Mike Problems","Many times, I faced problems when the mike is not working properly. Had to go to apple service centre to get them replaced."
"3.0 out of 5 stars","Good, warranty issues","Bought this product a year back, and now its stopped functioning. Advise not to buy product online, as invoice does not contain serial no of device, which creates issues when claiming warranty. Have given a request to amazon to update the invoice with serial no, which is pending."
"3.0 out of 5 stars","Very average. Not buyable.","Sometimes it has connectivity issue with the devices. Also the battery life is poor. No noise cancellation. Definitely not worth a 13K bucks."
"3.0 out of 5 stars","AIRPOD DISFUNCTIONAL","The canal speaker in lef airpod id not working , everything seems fine but still not working"
"3.0 out of 5 stars","Not great for the price","Not great for the price. I would say go for Senheiser, Sony or even Bose which is way better than Apple AirPod...  At this price I really expect wireless charging and Excellent Sound Quality..."
"3.0 out of 5 stars","Warranty and after sales issues","I bought it in Jan 2020, but recently one of the air pod stop charging itself. I am unable to find out how and where I can go for warranty exchange or repair. There is no details available."
"3.0 out of 5 stars","Not worth the price..","Not worth the price..Good for Apple products only, problems with other brands..Connects only one device at a time..Very bad & inefficient Apple support team..Don't buy unless you are a Apple freak..."
"3.0 out of 5 stars","Not Good, as per price","as pe that’s price, product are not good. For bass lover, it is ‘Bakwas’. this is comfortable for talk and always wear in office. sound quality is Ok Ok, you can take realme buds air also, only that’s calling time is only 01 hour. otherwise it is great."
"3.0 out of 5 stars","No value for money.","Its ok ok product for Iphone as provide seemless connectivity but quality is bad for this cost. No value for money."
"3.0 out of 5 stars","Not bad, charging draining quickly","Not suitable for zoom meetings"
"3.0 out of 5 stars","Received a defective product!!!","I have used Airpods in the past and could say that they are the best companion for your Apple family. However, the Airpods that I received were defective. While playing music on them the audio decreases automatically to less than 50% and I have to manually adjust it to bring it to the optimum level. Have raised a replacement request for the same. Hope I get the correct item this time."
"3.0 out of 5 stars","Heavy price!","Price is too much for the product and features"
"3.0 out of 5 stars","Battery should last longer","But for AirPods battery, which lasts only for 4-5 hrs , it is a nice product. I had similar AirPods bought in 2016 and the battery had longer listening time."
"3.0 out of 5 stars",".","Nice product"
"3.0 out of 5 stars","Good product","Size of the pods should have been bit smaller as of first version. It’s making me bit uncomfortable while using them . Like my ears are paining due to size of the pod . Fitting of the pods in my ears is making me to give this rating .. other than that sound,Battery life,noise cancellation is very better than all other..."
"3.0 out of 5 stars","Chinese item","I ordered this item because in your product details it was mentioned Country of Origin as India But on receiving the item I find it is mentioned Made in China"
"3.0 out of 5 stars","Nothing Extra ordinary","Apart from brand name (Apple) there is nothing extra ordinary in the product. So it is just an emotional buy. Try other brands before spending too much on it."
"3.0 out of 5 stars","No battery life","Battery life doesn’t stay for at least 1 full day even after charging with 100% battery life. Some unknown sound comes from left pod while making phone conversations.On a whole unsatisfied with the purchase."
"3.0 out of 5 stars","Don’t buy if it’s sold by Appario retail pvt ltd Banglore","I need an invoice with serial number of the product as there is an issue of sound quality- service center asking for bill which mention serial number also.."
"3.0 out of 5 stars","Good for office calls","Pros: 1. Good sound 2. Noise cancellation is good 3. Good for office calls, listening music while driving, or walking  Cons: 1. May not be used while jogging, ruining, gymming 2. Got Gen-1 device (A1602) but mentioned was Gen-2 on title while buying"
"3.0 out of 5 stars","Good but be careful while buying","Product is good but there is some delay while playing pubg. Go for airpods pro if u are a pubg lover. Also I received a product which has a slight scratch..... The product was repacked I guess I'm not sure. Be careful while buying."
"3.0 out of 5 stars","POD Battery drains fast","POD batteries drain quickly. I could use 100% charged pods for max 1.30 hours of talk time. After that it requires charging."
"3.0 out of 5 stars","Service is bad","Service is not good received late, got a defective product and they didn’t register the product for warranty. I had to do it on my own and when asked for the replacement they didn’t do as the return period over and I was 12 hours late"
"3.0 out of 5 stars","Horrible","I think I received a fake product . My ears pain within 10 minutes , battery drains very quickly and I’m having trouble connecting with my iPhone"
"3.0 out of 5 stars","Left airpod stopped working in one week","Overall nice airpods...looks cool...sound quality good Nd range is also good battery life good but left airpod stopped working within one week and It was not expected by me so quite embarrassing... service center replaced it with new one but I think u have to improve it for good services"
"3.0 out of 5 stars","AirPod not charging","AirPod is not charging sometimes and the Apple service center has slot after 30 days"
"3.0 out of 5 stars","Cannot connect with laptop","AirPods were great, sound quality was little bit more than average , I tried Sony Wf1000xm3 side by side and they were better. I couldn’t connect it with my laptop and other android devices it only works with my iPhone...... rest it’s fine😊"
"3.0 out of 5 stars","👌👌👌👌👌😍😍😍😍😍😍","AirPods sound quality is superbbb , I loved it the product it’s really worth & experience the wireless with Apple is great & awesome product, amazon delivers the product before the committed date & great service by amazon .."
"3.0 out of 5 stars","It is overpriced","Not so awesum experience but ya the music and the call experience was good."
"3.0 out of 5 stars","Not satisfied","Really disappointed with the seller. Firstly when i purchased it the case of the airpods were loosely attached so I had to exchanged it. After the replacement also I received the defective piece and no replacement was made. Really disappointed."
"3.0 out of 5 stars","Not a good fit for different ear sizes","The standard size is not a good fit on my ears"
"3.0 out of 5 stars","Used product deliver by seller with 6 months warranty","Used product deliver by seller"
"3.0 out of 5 stars","May be a defective piece","When listening to music,it’s absolutely fine,but when I am speaking on a call,there is much noise"
"3.0 out of 5 stars","Apple airpods must buy","I’m using this AirPods for the last two months. Overall, things are good somewhere the battery issues are concerned. It's not up to the mark but it's good and rich sound as well."
"3.0 out of 5 stars","Noise cancellation is not effective","Noise cancellation goes ON and OFF on its own"
"3.0 out of 5 stars","Not worth","For 14k it is not worth buying it You can't talk witb this More than your sound it ll pick sound of others Irritating"
"3.0 out of 5 stars","Go for Pro, these Airpods are now in the average category!","Very average, not worth the price!"
"3.0 out of 5 stars","Apple Airpods","While driving vehicle..noise cancellations were too horrible. Feeling worried about money for the product at the time of driving. In the mean while its Xcelent."
"3.0 out of 5 stars","Warranty period is not provided for 1 year","Product is good no doubt. However, i got this last week in November 2022 so the warranty would be for 1 year i.e., Nov 2023. I just check the validity it showing Sep 2023. May I k ow the reason for this?"
"3.0 out of 5 stars","Good Product, Worst service from Apple","The product was good. It was working great until after 3 months suddenly mic stopped working and right airpod gave less sound. I went to apple as i thought it was under warranty but again it’s apple. They told me that the mesh of the airpod was damaged. They literally used a microscope and showed me that there was a tiny hole due to which warranty is void. That is so stupid. Never buying airpods again. But amazon’s delivery was great. No issues. On time delivery."
"3.0 out of 5 stars","Touch sensors not working","I took aipods 2nd gen oneday ago , i checked the touch sensors not working . I tried to return the product but Amazon saying to talk with apple customer care and apple askedme to check with Amazon . I didn't understand why they are not allowing take the product return instead asking me to come to apple care . I don't have to time how should I come , i am fully loaded with meetings .  This worst behaviour , not satisfied Please help me to take return back"
"3.0 out of 5 stars","Got warranty for seven months","Genuine product. But got warranty only for seven months. Contacted apple customer care, but they have expressed their inability to extend the warranty up to one year due to mismatch of serial no. in the invoice with that of the the product."
"3.0 out of 5 stars","Battery drain fast","Battery drain very fast"
"3.0 out of 5 stars","The mic sounds worse than 1k earbuds","These are ultimately meant to take calls on the go. Maybe, I've got a defective one, but the mic quality is just bad. There's always an extra helping of noise delivered to the other end, along with the voice. It's very frustrating.  Apart from the issue, no complains."
"3.0 out of 5 stars","not good","Not good earphone. I don’t recommend you cannot wear more than 30 minutes your ear will pain very badly"
"3.0 out of 5 stars","Very uncomfortable to use While driving it will fall down easily","Ear pod not sitting properly in my ear U have to change the things"
"3.0 out of 5 stars","Not bad","Money 💰 waist"
"3.0 out of 5 stars","Refurbished one I got","It seems there is no Apple warranty for this product"
"3.0 out of 5 stars","Cannot put in the ear for a long time Very painful","Very painful for the ear Not a good recommendation"
"3.0 out of 5 stars","The transparency of the product","There were small scratches on the case , that was lil disappointing"
"3.0 out of 5 stars","Poor fitting in the ears","Not useful when doing activities like cycling, running,etc. It poorly fits"
"3.0 out of 5 stars","Sound leaks in high volume and even in medium","Over all nice but since its apple the prices are high which I would say is not worth it because you can get earbuds with almost the same quality in a lot cheaper prices."
"3.0 out of 5 stars","Fancy product - easy to ise","If you are looking for sound - please don’t go for this product. Please go for Bose with couple of more bucks. It’s a stylish product with no sense of sound"
"3.0 out of 5 stars","Not worth its price","There are better earphones in sony and jbl at this price. Noise cancellation is not good. If I am listening to music people sitting beside me can hear it. And falls from my ear"
"3.0 out of 5 stars","Less Battery Backup","It gives me only 3 hours of battery backup even after charging it fully."
"3.0 out of 5 stars","Not a value for money","Pros :The connectivity with iPhone is great. It pairs immediately with my iPhone 12pro. Battery life is more than sufficient. Very light weight and fits in the ear perfectly. Looks decent as well.  Cons: 1.Sound quality is poor. It is not better than any cheap earphone. One can easily get this quality of sound in earphones which are under Rs 1000 price range. Those who have used Bose Soundsport cannot tolerate this kind of sound quality. 2. There is no cushion or soft pads so after using for sometime it hurts. Not very comfortable for those who use airpods for a long time.  This kind of items cannot be priced above Rs 1000-1500. Only God know why Apple has priced it at 13999."
"3.0 out of 5 stars","Seems like something ..","Seems like charge doesn't exist for long time . Auto connect is not happening . Noise is not clear sometimes ."
"3.0 out of 5 stars","Uncomfortable","Sound quality is good but it is very painful to wear for long hours."
"3.0 out of 5 stars","Bad experince","Dislike"
"3.0 out of 5 stars","The battery life is pretty bad , no noise cancellation","The voice quality is good, but the battery life is very bad zoom call for 60-70 mins and the battery is out and the voice starts cutting. There is Zero noise cancellation. I would like to return this Can I? Its a waste of money"
"3.0 out of 5 stars","Too overpriced.","Have used these and OnePlus buds z. OnePlus is by far better in sound quality and isolation."
"3.0 out of 5 stars","Genuine but received scratched product .","The media could not be loaded. The product is good, I had some confusion regarding the genuineness of the product, I contacted the Amazon customer service and their behaviour was very harsh. Later on after seeing all the reviews & the images of the product I too noticed a lot of scratches on the case of the product. The product is genuine but somehow I feel like it’s a used one, Amazon should replace the same."
"3.0 out of 5 stars","Able to converse hand free","It worked for initial about 7-8 days. It is not working at all now. Due to COVID, I am not visiting any service centre. Please help. Thanks"
"3.0 out of 5 stars","Good earphones but not stellar","The particular piece received has a slightly loose hinge on the case. I have used the previous generation Airpods for 2 years and there was no issue. I guess the quality levels have fallen. Apple India has refused to accept this as a warranty issue. Sound quality is good and same as Airpods from 1st gen. There is no noise cancelling feature for that you will need to look at the Airpods pro and shell out extra dough It pairs much faster with devices as compared to last generation Airpods and “hey Siri” feature is great. Expect a lifetime of slightly over 2 years as the battery starts to wear out and there is no way to replace the battery in the buds Overall a good earphones but with some flaws"
"3.0 out of 5 stars","Nc is not up to the mark bt sound is very good","Good"
"3.0 out of 5 stars","Good product","Good sound quality and Bluetooth connectivity. The only reason i have given 3 stars for the product is that once when the ear phones were not working when i took it to the Apple store, they said the warranty was expired since the product was purchased much earlier in july though the amazon invoice says 2nd December 2019. Beware of that."
"3.0 out of 5 stars","But original ones are great, personally I ordered from here and it was fake","Look airpods itself are amazing without a doubt. But i got a fake one so definitely my experience was bad. I am user of airpods since launch and its very handy. Go for it. Just dont buy it on amazon they cant control delivery people but lot many times cargo comes fake"
"3.0 out of 5 stars","Zero Noise Cancellation - Rest is good","Review after using for 1 month:  Pros:  1. The sound quality is amazing if you are sitting in a quite environment. 2. Extremely light weight. 3. Charging case can charge them for 4 times. 4. Fits most of the ears, please go to nearest apple store, try them for 20-25 mins, if you feel comfortable then only buy. 5. Great voice quality and highly convenient for long calls. You can do all your chores while talking with friends/family.  Cons:  1. Zero Noise cancellation 2. The case gets in 2-3 days of normal use 3. Not good for workout (running, gymming, training, etc) 4. Obviously, overpriced."
"3.0 out of 5 stars","Worth of buying.","I didn't even expected good sound quality. Sound is good. in my case I got the defect product. both the left and right earpods were not pairing with each other and I was getting continues blinks with amber light. tried with the Amazon customer care, no body responded. Finally I had to return this product and now I have purchased from the store directly and using nicely now."
"3.0 out of 5 stars","Cap is making sound while pressing from top ends","The media could not be loaded. The cap is making sound while pressing from top ends, my point is if you are paying 12.5 k then we should get the best product, I replaced it but again I got the same issue, may be they are giving the used product."
"3.0 out of 5 stars","Mike Problems","Many times, I faced problems when the mike is not working properly. Had to go to apple service centre to get them replaced."
"3.0 out of 5 stars","Good, warranty issues","Bought this product a year back, and now its stopped functioning. Advise not to buy product online, as invoice does not contain serial no of device, which creates issues when claiming warranty. Have given a request to amazon to update the invoice with serial no, which is pending."
"3.0 out of 5 stars","Very average. Not buyable.","Sometimes it has connectivity issue with the devices. Also the battery life is poor. No noise cancellation. Definitely not worth a 13K bucks."
"3.0 out of 5 stars","AIRPOD DISFUNCTIONAL","The canal speaker in lef airpod id not working , everything seems fine but still not working"
"3.0 out of 5 stars","Not great for the price","Not great for the price. I would say go for Senheiser, Sony or even Bose which is way better than Apple AirPod...  At this price I really expect wireless charging and Excellent Sound Quality..."
"3.0 out of 5 stars","Warranty and after sales issues","I bought it in Jan 2020, but recently one of the air pod stop charging itself. I am unable to find out how and where I can go for warranty exchange or repair. There is no details available."
"3.0 out of 5 stars","Not worth the price..","Not worth the price..Good for Apple products only, problems with other brands..Connects only one device at a time..Very bad & inefficient Apple support team..Don't buy unless you are a Apple freak..."
"3.0 out of 5 stars","Not Good, as per price","as pe that’s price, product are not good. For bass lover, it is ‘Bakwas’. this is comfortable for talk and always wear in office. sound quality is Ok Ok, you can take realme buds air also, only that’s calling time is only 01 hour. otherwise it is great."
"3.0 out of 5 stars","No value for money.","Its ok ok product for Iphone as provide seemless connectivity but quality is bad for this cost. No value for money."
"3.0 out of 5 stars","Not bad, charging draining quickly","Not suitable for zoom meetings"
"3.0 out of 5 stars","Received a defective product!!!","I have used Airpods in the past and could say that they are the best companion for your Apple family. However, the Airpods that I received were defective. While playing music on them the audio decreases automatically to less than 50% and I have to manually adjust it to bring it to the optimum level. Have raised a replacement request for the same. Hope I get the correct item this time."
"3.0 out of 5 stars","Heavy price!","Price is too much for the product and features"
"3.0 out of 5 stars","Battery should last longer","But for AirPods battery, which lasts only for 4-5 hrs , it is a nice product. I had similar AirPods bought in 2016 and the battery had longer listening time."
"3.0 out of 5 stars",".","Nice product"
"3.0 out of 5 stars","Good product","Size of the pods should have been bit smaller as of first version. It’s making me bit uncomfortable while using them . Like my ears are paining due to size of the pod . Fitting of the pods in my ears is making me to give this rating .. other than that sound,Battery life,noise cancellation is very better than all other..."
"3.0 out of 5 stars","Chinese item","I ordered this item because in your product details it was mentioned Country of Origin as India But on receiving the item I find it is mentioned Made in China"
